Good?, flags, VID, PID, Name, INIid, REGid, RegEntry, INIguid, REGguid, HIDguid, ValsOK?, ReadsOk?

,,, HIDscanning completed

N, x00, x1234, xBEAD, , -1, -1, 0, {NULL}, {NULL}, {46E45AC0-F34E-11E9-8002-444553540000}, Y, N
N, x00, x0483, x5710, , -1, -1, 0, {NULL}, {NULL}, {1AAE6BB0-0826-11EB-8001-444553540000}, Y, N

,,, REGscanning completed

N, x00, x1234, xBEAD, vJoy Device, -1, 0, 0, {NULL}, {46E45AC0-F34E-11E9-8002-444553540000}, {46E45AC0-F34E-11E9-8002-444553540000}, Y, Y
N, x00, x0483, x5710, RadioMas TX16S Joystick, -1, 1, 0, {NULL}, {1AAE6BB0-0826-11EB-8001-444553540000}, {1AAE6BB0-0826-11EB-8001-444553540000}, Y, Y

,,, User settings imported

N, x00, x1234, xBEAD, vJoy Device, 0, 0, 0, {46E45AC0-F34E-11E9-8002-444553540000}, {46E45AC0-F34E-11E9-8002-444553540000}, {46E45AC0-F34E-11E9-8002-444553540000}, Y, Y
N, x00, x0483, x5710, RadioMas TX16S Joystick, 1, 1, 0, {1AAE6BB0-0826-11EB-8001-444553540000}, {1AAE6BB0-0826-11EB-8001-444553540000}, {1AAE6BB0-0826-11EB-8001-444553540000}, Y, Y

,,, Values matched and decided

Y, x1E, x1234, xBEAD, vJoy Device, 0, 0, 0, {46E45AC0-F34E-11E9-8002-444553540000}, {46E45AC0-F34E-11E9-8002-444553540000}, {46E45AC0-F34E-11E9-8002-444553540000}, Y, Y
Y, x1E, x0483, x5710, RadioMas TX16S Joystick, 1, 1, 0, {1AAE6BB0-0826-11EB-8001-444553540000}, {1AAE6BB0-0826-11EB-8001-444553540000}, {1AAE6BB0-0826-11EB-8001-444553540000}, Y, Y
